id,x,y,v_x,v_y,time
0,8.6732,3.63579,1.5435,0.20288,0.12
0,8.85971,3.66156,1.55426,0.214734,0.24
0,9.04776,3.68922,1.56707,0.230525,0.36
0,9.23758,3.71912,1.58183,0.249211,0.48
0,9.42944,3.7515,1.59886,0.269808,0.6
0,9.6237,3.78651,1.61881,0.291718,0.72
0,9.8208,3.82431,1.64254,0.314989,0.84
0,10.0213,3.86514,1.67111,0.340271,0.96
0,10.226,3.90936,1.70572,0.368492,1.08
0,10.4357,3.95741,1.74764,0.400464,1.2
0,10.6515,4.00981,1.79812,0.436607,1.32
0,10.8745,4.06702,1.85794,0.476781,1.44
0,11.1057,4.12944,1.92688,0.520136,1.56
0,11.3461,4.19724,2.00328,0.565016,1.68
0,11.5961,4.27033,2.08381,0.609081,1.8
0,11.8558,4.34828,2.16344,0.649647,1.92
0,12.124,4.43036,2.23533,0.683948,2.04
0,12.3989,4.51545,2.29057,0.709073,2.16
0,12.677,4.60204,2.31789,0.721613,2.28
1,12.6356,5.77431,-1.63715,-0.0187468,1.8
1,12.4407,5.77292,-1.62373,-0.0116218,1.92
1,12.2488,5.7732,-1.59973,0.002348,2.04
1,12.0604,5.77592,-1.5699,0.0226449,2.16
1,11.8756,5.78173,-1.53928,0.0484546,2.28
1,11.6943,5.79116,-1.5114,0.0786138,2.4
1,11.5158,5.80456,-1.48737,0.111605,2.52
1,11.3398,5.82205,-1.46635,0.145771,2.64
1,11.1663,5.84361,-1.44652,0.179668,2.76
1,10.9952,5.86908,-1.42583,0.212236,2.88
1,10.8268,5.89819,-1.40255,0.242605,3
1,10.6617,5.93056,-1.37593,0.269731,3.12
1,10.5001,5.96561,-1.34673,0.292125,3.24
1,10.3421,6.00257,-1.31711,0.307987,3.36
1,10.1873,6.04048,-1.28966,0.315879,3.48
1,10.0353,6.07834,-1.26639,0.315556,3.6
1,9.88557,6.11534,-1.24813,0.30828,3.72
1,9.7374,6.1509,-1.23479,0.29634,3.84
1,9.59031,6.18476,-1.22574,0.282191,3.96
1,9.44389,6.21691,-1.22013,0.267885,4.08
1,9.29785,6.2475,-1.21701,0.254903,4.2
1,9.152,6.27678,-1.21539,0.244081,4.32
1,9.00629,6.30505,-1.21427,0.235554,4.44
1,8.86076,6.33252,-1.21273,0.228863,4.56
1,8.71556,6.3593,-1.21005,0.223227,4.68
1,8.57085,6.38545,-1.2059,0.217858,4.8
1,8.42681,6.4109,-1.20034,0.212142,4.92
1,8.28356,6.43559,-1.19371,0.205692,5.04
1,8.1412,6.45939,-1.18633,0.198356,5.16
1,7.9998,6.48221,-1.17835,0.190223,5.28
1,7.85943,6.504,-1.16974,0.181572,5.4
1,7.72019,6.52474,-1.16032,0.172769,5.52
1,7.58221,6.54444,-1.14989,0.164188,5.64
1,7.44562,6.56318,-1.13821,0.156192,5.76
